# BEGIN DUMP Mon Nov 19 13:47:33 2001
AD,1,,,EVENTS,"The birth year of [[Jesus Christ]] according to [[Christianity|Christian]] tradition."
BC,100,,,BIRTHS,"[[Julius Caesar]]"
BC,101,,,EVENTS,"The Roman consuls [[Marius]] and [[Catulus]] defeat the [[Cimbri]] in the [[Battle of Campi Raudii]]"
BC,102,,,EVENTS,"[[Marius]] defeats the [[Scirii]] and [[Teutones]] at [[Aix-en-Provence]]."
BC,103,,,EVENTS,"[[Alexander Jannaeus]] succeeds his brother [[Aristobulus I]] as king of [[Judea]]"
BC,103,,,EVENTS,"[[Tryphon]] and [[Athenion]] lead the [[Second Servile War]] on [[Sicilly]]"
AD,1040,,,DEATHS,"[[Duncan I]], king of Scotland"
AD,1040,,,EVENTS,"Change of [[Scotland/Monarchs|Scottish Monarch]] from [[[Duncan I]] to [[Macbeth]]"
BC,104,,,EVENTS,"[[Aristobulus I]] succeeds [[John Hyrcanus]] as king of [[Judea]]"
AD,105,,,EVENTS,"[[Pope Alexander I]] succeeds [[Pope Evaristus]]"
AD,1057,,,DEATHS,"[[Macbeth]], king of Scotland (r. [[1040]]-1057)"
AD,1057,,,EVENTS,"Change of [[Scotland/Monarchs|Scottish Monarch]] from [[Macbeth]] to [[Lulach]]"
BC,105,,,EVENTS,"The [[Cimbri]] defeat two Roman armies on the [[Rhone]]"
AD,106,,,EVENTS,"[[Trajan]] defeats king [[Decebalus] of [[Dacia]] ([[Romania]])"
AD,1066,,,DEATHS,"[[Harold Godwinson]]"
AD,1066,,,EVENTS,"[[William the Conqueror]], duke of [[Normandy]], invades [[England]]"
AD,1066,,,EVENTS,"[[Battle of Stamford Bridge]], [[Battle of Hastings]]"
BC,106,,,BIRTHS,"[[Cicero]], Roman politician and author"
AD,1071,,,EVENTS,"1071, [[Byzantine Empire]] loses [[Battle of Manzikert]] to [[Seljuk Turks|Turkish]] army."
AD,1079,,,BIRTHS,"[[Peter Abelard]], scholastic philosopher"
AD,1087,,,,"Change of [[British Monarchs|King]] of [[England]] from [[William I]] to [[William II]]."
AD,1098,,,BIRTHS,"[[Hildegard of Bingen]], mystic, monastic founder, author, composer"
AD,1099,7,29,DEATHS,"[[Pope Urban II]], succeeded by [[Pope Paschal II]]"
AD,1099,,,EVENTS,"First [[Crusade]] captures [[Jerusalem]]"
AD,110,,,DEATHS,"[[Suetonius]] publishes ''Of illustrious men (De viris illustribus)''"
BC,1100,,,EVENTS,"[[Tiglath-Pileser I]] of [[Assyria]] conquers the [[Hittites]]"
BC,1122,,,EVENTS,"[[Wu Wang]] overthrows the [[China|Chinese]] emperor [[Zhou Hsin]] and founds the Zhou (Chou) dynasty"
AD,1124,,,DEATHS,"[[Pope Callistus II]]"
AD,1124,,,EVENTS,"[[Pope Honorius II|Honorius II]] is elected pope"
AD,1130,,,DEATHS,"[[Pope Honorius II]]"
AD,1130,,,EVENTS,"[[Pope Innocent II|Innocent II]] is elected pope"
AD,1135,,,BIRTHS,"[[Maimonides]], respected [[Jewish]] [[philosopher]]."
AD,1141,2,11,DEATHS,"[[Hugo of St. Victor]], philosopher/theologian/mystic."
AD,1142,,,DEATHS,"[[Peter Abelard]], scholastic philosopher"
AD,1143,,,DEATHS,"[[Pope Innocent II]]"
AD,1143,,,EVENTS,"[[Pope Celestine II|Celestine II]] is elected pope."
AD,1144,,,EVENTS,"[[Pope Celestine II]] is succeeded by [[Pope Lucius II]]"
BC,1146,,,EVENTS,"[[Nebuchadnezzar I]] becomes king of [[Babylon]]"
AD,115,,,EVENTS,"[[Pope Sixtus I]] succeeds [[Pope Alexander I]]"
AD,1154,,,EVENTS,"Nicholas Breakspear, only [[English]] [[pope]], elected as [[Pope Adrian IV]]"
AD,1154,,,EVENTS,"Change of [[British Monarchs|King]] of [[England]], from [[Stephen I]] ([[1097]]-1154) to [[Henry II]] (1154-[[1189]])"
BC,1160,,,DEATHS,"Pharaoh [[Ramses V]], from smallpox"
AD,1163,,,,"[[Abbot|abbey]] of Lokkum in [[Hanover]], founded as a Cistercian house Count Wilbrand"
AD,117,,,EVENTS,"[[Roman Emperors|Roman emperor]] [[Trajan]] succeeded by [[Hadrian]]"
AD,12,,,BIRTHS,"Roman emperor [[Caligula]]"
AD,120,,,DEATHS,"[[Plutarch]], Roman priest and biographer"
BC,1200,,,EVENTS,"Egypt: End of [[Egypt--Nineteenth Dynasty|Nineteenth Dynasty]], start of [[Egypt--Twentieth Dynasty|Twentieth Dynasty]]"
AD,1204,,,DEATHS,"[[Maimonides]],  [[Jewish]] [[philosopher]]"
AD,1204,,,EVENTS,"Fall of [[Constantinople]] to the 4th [[Crusade]]"
BC,1221,,,EVENTS,"Pharaoh [[Merneptah]] defeats a Libyan invasion"
AD,125,,,EVENTS,"construction of the [[Pantheon]] ([[Rome]]) as it stands today by [[Hadrian]]"
AD,125,,,EVENTS,"[[Juvenal]] creates the expression &quot;bread and circuses' (''panem et circenses'')"
AD,125,,,EVENTS,"[[Pope Telesphorus]] succeeds [[Pope Sixtus I]]"
AD,1252,,,EVENTS,"[[Alphonso X of Spain]]"
AD,1277,5,20,DEATHS,"[[Pope John XXI]]"
AD,1282,,,EVENTS,"[[English]] conquest of [[Wales]] succeeded under [[Edward I]]"
AD,1284,,,DEATHS,"[[Alphonso X of Spain]]"
AD,1299,,,,"Beginning [[Ottoman Emperor|emperor]] of the [[Ottoman Empire]] is [[Osman I]] ([[1299]]-[[1326]]) "
BC,129,,,EVENTS,"The kingdom of [[Pergamum]] becomes the Roman province of Asia"
BC,12,,,,"death of [[Marcus Vipsanius Agrippa]] (see also [[Roman Empire]])"
AD,1300,,,EVENTS,"[[abacus]] first used in [[China]]."
AD,132,,,EVENTS,"[[Simon Bar-Kochba]] and [[Rabbi Eleazar]] start a war of liberation against the Romans"
BC,1320,,,EVENTS,"Egypt: End of [[Egypt--Eighteenth Dynasty|Eighteenth Dynasty]], start of [[Egypt--Nineteenth Dynasty|Nineteenth Dynasty]]"
AD,1326,,,,"Change of [[Ottoman Emperor|emperor]] of the [[Ottoman Empire]] from [[Osman I]] ([[1299]]-[[1326]]) to [[Orhan I]] ([[1326]]-[[1359]]) "
BC,132,,,EVENTS,"[[First Servile War]]"
AD,1359,,,,"Change of [[Ottoman Emperor|emperor]] of the [[Ottoman Empire]] from [[Orhan I]] ([[1326]]-[[1359]]) to [[Murad I]] ([[1359]]-[[1389]]) "
AD,136,,,EVENTS,"[[Pope Hyginus]] succeeds [[Pope Telesphorus]]"
AD,138,,,EVENTS,"[[Roman Emperors|Roman emperor]] [[Hadrian]] succeeded by [[Antoninus Pius]]"
AD,1380,2,11,BIRTHS,"[[Gianfrancesco Poggio Bracciolini]], Italian humanist."
BC,1380,,,EVENTS,"Pharaoh [[Amenhotep II]] connects the [[Nile]] and the [[Red Sea]] with a canal"
AD,1389,,,,"Change of [[Ottoman Emperor|emperor]] of the [[Ottoman Empire]] from [[Murad I]] ([[1359]]-[[1389]]) to [[Beyazid I]] ([[1389]]-[[1402]]) "
AD,14,8,19,DEATHS,"[[Augustus]], emperor of the [[Roman Empire]]."
AD,140,,,EVENTS,"[[Pope Pius I]] succeeds [[Pope Hyginus]]"
AD,1402,,,EVENTS,"[[battle of Ankara]]"
AD,1403,,,EVENTS,"Change of [[Ottoman Emperor|emperor]] of the [[Ottoman Empire]] from [[Beyazid I]] ([[1389]]-[[1402]]) to [[Mehmed I]] ([[1403]]-[[1421]]) "
AD,1410,7,15,EVENTS,"[[battle of Grunwald]] (Tannenberg) (see also: [[Grunwald]])"
AD,1421,,,,"Change of [[Ottoman Emperor|emperor]] of the [[Ottoman Empire]] from [[Mehmed I]] ([[1403]]-[[1421]]) to [[Murad II]] ([[1421]]-[[1451]]) "
AD,1436,,,BIRTHS,"[[Regiomontanus]] (Johannes Müller), [[German]] [[astronomer]] "
AD,1451,,,,"Change of [[Ottoman Emperor|emperor]] of the [[Ottoman Empire]] from [[Murad II]] ([[1421]]-[[1451]]) to [[Mehmed II]] (the Conqueror) ([[1451]]-[[1481]]) "
AD,1453,,,EVENTS,"Fall of [[Constantinople]] to [[Mehmed II]] (the Conqueror)."
AD,1465,2,11,BIRTHS,"[[Elizabeth of York]], British consort of [[King Henry VII]]"
AD,1469,,,BIRTHS,"[[Guru Nanak]] the founder of [[Sikhism]] "
BC,146,,,EVENTS,"[[Carthage]] falls to [[Roman Republic|Roman]] forces under [[Scipio Aemillianus]]. End of the [[Third Punic War]]"
AD,1471,5,20,DEATHS,"[[Henry VI]] King of [[England]]"
AD,1473,,,BIRTHS,"[[Nicolaus Copernicus]], [[Polish]] [[astronomer]]"
AD,1476,,,DEATHS,"[[Regiomontanus]] (Johannes Müller), [[German]] [[astronomer]] "
AD,1481,,,,"Change of [[Ottoman Emperor|emperor]] of the [[Ottoman Empire]] from [[Mehmed II]] (the Conqueror) ([[1451]]-[[1481]]) to [[Beyazid II]] ([[1481]]-[[1512]]) "
AD,1492,,,EVENTS,"[[Christopher Columbus]] discovers [[America]]."
AD,1492,,,EVENTS,"[[Moors]] driven from [[Spain]]."
AD,1492,,,EVENTS,"[[Sephardic]] [[Judaism|Jews]] expulsion from [[Spain]]"
AD,1492,,,EVENTS,"[[Casimir IV Jagiello]] of [[Jagiello]] Royal House ends reign. ([[1427]]-[[1492]]),"
AD,1498,5,20,EVENTS,"Portuguese explorer [[Vasco da Gama]] arrives at [[Calcutta]], [[India]]"
BC,149,,,,"beginning of the Third [[Punic Wars|Punic War]]."
BC,14,,,EVENTS,"Founding of [[Augsburg]] (Augusta Vindelicorum) by the emperor [[Augustus]]"
AD,1500,,,EVENTS,"[[Pedro Alvares Cabral]] claims [[Brazil]] for [[Portugal]]"
AD,1503,2,11,DEATHS,"[[Elizabeth of York]], consort of [[King Henry VII]], dies on her 38th birthday."
AD,1506,5,20,DEATHS,"[[Christopher Columbus]], Italian explorer"
AD,1512,,,EVENTS,"Change of [[Ottoman Emperor|emperor]] of the [[Ottoman Empire]] from [[Beyazid II]] ([[1481]]-[[1512]]) to [[Selim I]] ([[1512]]-[[1520]]) "
AD,1512,,,EVENTS,"First use of the word &quot;[[masque]]&quot; to denote a [[poetry|poetic]] [[theater|drama]]"
AD,1512,,,EVENTS,"[[Copernicus]] writes [[Commentariolus]]"
AD,1512,,,EVENTS,"[[Amerigo Vespucci]] dies (born [[1451]])"
AD,1520,,,EVENTS,"Change of [[Ottoman Emperor|emperor]] of the [[Ottoman Empire]] from [[Selim I]] ([[1512]]-[[1520]]) to [[Suleiman I]] (the Magnificient) ([[1520]]-[[1566]]) "
AD,1521,,,EVENTS,"The [[Ottoman Empire|Turks]] occupy [[Belgrade]]"
AD,1531,2,11,EVENTS,"[[King Henry VIII]] recognized as supreme head of the Church in England."
AD,1535,2,11,BIRTHS,"[[Pope Gregory XIV|Gregory XIV]] (Niccolò Sfondrati), Pope ([[1590]]-[[1591]])."
AD,1537,,,BIRTHS,"[[John III Vasa]] of [[Sweden]]"
AD,1540,,,BIRTHS,"[[Andrea Andreani]], Italian artist (possibly in [[1560]])"
AD,1542,,,EVENTS,"The first contact of [[Japan]] with the West when a [[Portuguese]] ship, blown off its course to [[China]], landed in Japan."
AD,1543,2,11,DEATHS,"[[Ahmed Gran]], sultan of Adal."
AD,1543,,,DEATHS,"[[Nicolaus Copernicus]], Polish astronomer"
AD,1543,2,11,EVENTS,"[[Battle of Wayna Daga]] - [[Ethiopia|Ethiopian]]/[[Portugal|Portuguese]]? troops beat Muslim army."
AD,1543,,,EVENTS,"[[Nicolaus Copernicus]] publishes ''De revolutionibus orbium coelestium''"
AD,1546,,,BIRTHS,"[[Tycho Brahe]], Danish astronomer"
AD,155,,,EVENTS,"[[Pope Anicetus]] succeeds [[Pope Pius I]]"
AD,155,,,DEATHS,"Saint [[Polycarp]] of Smyrna"
AD,1550,,,BIRTHS,"[[John Napier]], Scottish mathematician"
AD,1554,2,11,DEATHS,"[[Lady Jane Grey]], deposed Queen of England."
AD,1557,2,11,BIRTHS,"[[John Uijtenbogaert]] Dutch [[remonstrant]] theologian."
AD,1560,,,BIRTHS,"[[Andrea Andreani]], Italian artist (possibly in [[1540]])"
AD,1561,,,BIRTHS,"[[Francis Bacon]], [[English]] [[scientist]] and statesman"
AD,1564,2,15,BIRTHS,"[[Galileo|Galileo Galilei]] born in [[Pisa]]"
AD,1564,,,BIRTHS,"[[Christopher Marlowe]]"
AD,1565,8,28,EVENTS,"[[St. Augustine, Florida]] (named after [[Augustine of Hippo|St. Augustine]]), established. It is the oldest remaining [[Europe]]an occupation in the [[United States]]."
AD,1566,,,BIRTHS,"[[Sigismund III Vasa]], king of [[Poland]] and [[Sweden]]"
AD,1566,,,EVENTS,"Change of [[Ottoman Emperor|emperor]] of the [[Ottoman Empire]] from [[Suleiman I]] (the Magnificient) ([[1520]]-[[1566]]) to [[Selim II]] ([[1566]]-[[1574]]) "
